2020-10-17 17:01:47,860 - RegisterPage - INFO - 执行注册操作
2020-10-17 17:01:55,438 - BasePage - INFO - None 查找元素 ('name', 'username')
2020-10-17 17:01:55,663 - BasePage - INFO - None 查找元素 ('name', 'email')
2020-10-17 17:01:55,870 - BasePage - INFO - None 查找元素 ('name', 'password')
2020-10-17 17:01:56,006 - BasePage - INFO - None 查找元素 ('name', 'confirm_password')
2020-10-17 17:01:56,120 - BasePage - INFO - None 查找元素 ('name', 'extend_field1')
2020-10-17 17:01:56,271 - BasePage - INFO - None 查找元素 ('name', 'extend_field2')
2020-10-17 17:01:56,380 - BasePage - INFO - None 查找元素 ('name', 'extend_field3')
2020-10-17 17:01:56,478 - BasePage - INFO - None 查找元素 ('name', 'extend_field4')
2020-10-17 17:01:56,574 - BasePage - INFO - None 查找元素 ('name', 'extend_field5')
2020-10-17 17:01:56,690 - BasePage - INFO - None 查找元素 ('name', 'sel_question')
2020-10-17 17:01:56,799 - BasePage - INFO - None 查找元素 ('name', 'passwd_answer')
2020-10-17 17:01:56,941 - BasePage - INFO - None 查找元素 ('name', 'Submit')
2020-10-17 17:02:06,776 - BasePage - INFO - None 查找元素 ('name', 'username')
2020-10-17 17:02:06,961 - BasePage - INFO - None 查找元素 ('name', 'email')
2020-10-17 17:02:07,138 - BasePage - INFO - None 查找元素 ('name', 'password')
2020-10-17 17:02:07,277 - BasePage - INFO - None 查找元素 ('name', 'confirm_password')
2020-10-17 17:02:07,391 - BasePage - INFO - None 查找元素 ('name', 'extend_field1')
2020-10-17 17:02:07,528 - BasePage - INFO - None 查找元素 ('name', 'extend_field2')
2020-10-17 17:02:07,646 - BasePage - INFO - None 查找元素 ('name', 'extend_field3')
2020-10-17 17:02:07,752 - BasePage - INFO - None 查找元素 ('name', 'extend_field4')
2020-10-17 17:02:07,881 - BasePage - INFO - None 查找元素 ('name', 'extend_field5')
2020-10-17 17:02:08,022 - BasePage - INFO - None 查找元素 ('name', 'sel_question')
2020-10-17 17:02:08,147 - BasePage - INFO - None 查找元素 ('name', 'passwd_answer')
2020-10-17 17:02:08,284 - BasePage - INFO - None 查找元素 ('name', 'Submit')
2020-10-17 17:02:18,217 - BasePage - INFO - None 查找元素 ('name', 'username')
2020-10-17 17:02:18,442 - BasePage - INFO - None 查找元素 ('name', 'email')
2020-10-17 17:02:18,654 - BasePage - INFO - None 查找元素 ('name', 'password')
2020-10-17 17:02:18,787 - BasePage - INFO - None 查找元素 ('name', 'confirm_password')
2020-10-17 17:02:18,898 - BasePage - INFO - None 查找元素 ('name', 'extend_field1')
2020-10-17 17:02:19,033 - BasePage - INFO - None 查找元素 ('name', 'extend_field2')
2020-10-17 17:02:19,153 - BasePage - INFO - None 查找元素 ('name', 'extend_field3')
2020-10-17 17:02:19,252 - BasePage - INFO - None 查找元素 ('name', 'extend_field4')
2020-10-17 17:02:19,345 - BasePage - INFO - None 查找元素 ('name', 'extend_field5')
2020-10-17 17:02:19,452 - BasePage - INFO - None 查找元素 ('name', 'sel_question')
2020-10-17 17:02:19,561 - BasePage - INFO - None 查找元素 ('name', 'passwd_answer')
2020-10-17 17:02:19,678 - BasePage - INFO - None 查找元素 ('name', 'Submit')
